2026-07-02 14:42:52 | INFO     | camera | Confidence threshold -> 0.05
2026-07-02 14:42:52 | INFO     | camera | Confidence threshold -> 0.05
2026-07-02 14:42:52 | INFO     | camera | Confidence threshold -> 0.05
2026-07-02 14:42:52 | INFO     | camera | Confidence threshold -> 0.05
2026-07-02 14:42:52 | INFO     | camera | Confidence threshold -> 0.05
2026-07-02 14:42:52 | INFO     | camera | Confidence threshold -> 0.05
2026-07-02 14:42:52 | INFO     | camera | Confidence threshold -> 0.05
2026-07-02 14:42:52 | INFO     | camera | Confidence threshold -> 0.05
2026-07-02 14:42:52 | INFO     | camera | Confidence threshold -> 0.05
2026-07-02 14:44:28 | WARNING  | camera | Interrupted by user (Ctrl+C). Shutting down.
2026-07-02 14:44:29 | INFO     | camera | Camera released. Session ended.
2026-07-02 14:44:54 | INFO     | camera | Loading model runs\detect\tool_detector\weights\best.pt on device: GPU 0 - NVIDIA GeForce GTX 1650 Ti (4.0 GB)
2026-07-02 14:44:55 | INFO     | camera | Model loaded. Classes: ['drill', 'hammer', 'pliers', 'screwdriver', 'wrench']
2026-07-02 14:44:57 | INFO     | camera | Camera 0 opened successfully. Confidence threshold = 0.5
2026-07-02 14:44:57 | INFO     | camera | Press 'q' to quit, '+'/'-' to adjust confidence, 's' to save a snapshot.
2026-07-02 14:45:24 | WARNING  | camera | Interrupted by user (Ctrl+C). Shutting down.
2026-07-02 14:45:24 | INFO     | camera | Camera released. Session ended.
2026-07-02 14:45:50 | INFO     | camera | Loading model runs\detect\tool_detector\weights\best.pt on device: GPU 0 - NVIDIA GeForce GTX 1650 Ti (4.0 GB)
2026-07-02 14:45:50 | INFO     | camera | Model loaded. Classes: ['drill', 'hammer', 'pliers', 'screwdriver', 'wrench']
2026-07-02 14:45:53 | INFO     | camera | Camera 0 opened successfully. Confidence threshold = 0.8
2026-07-02 14:45:53 | INFO     | camera | Press 'q' to quit, '+'/'-' to adjust confidence, 's' to save a snapshot.
2026-07-02 14:46:35 | WARNING  | camera | Interrupted by user (Ctrl+C). Shutting down.
2026-07-02 14:46:36 | INFO     | camera | Camera released. Session ended.
2026-07-02 14:46:54 | INFO     | camera | Loading model runs\detect\tool_detector\weights\best.pt on device: GPU 0 - NVIDIA GeForce GTX 1650 Ti (4.0 GB)
2026-07-02 14:46:54 | INFO     | camera | Model loaded. Classes: ['drill', 'hammer', 'pliers', 'screwdriver', 'wrench']
2026-07-02 14:46:57 | INFO     | camera | Camera 0 opened successfully. Confidence threshold = 0.7
2026-07-02 14:46:57 | INFO     | camera | Press 'q' to quit, '+'/'-' to adjust confidence, 's' to save a snapshot.
2026-07-02 14:47:29 | WARNING  | camera | Interrupted by user (Ctrl+C). Shutting down.
2026-07-02 14:47:29 | INFO     | camera | Camera released. Session ended.
2026-07-02 14:47:53 | INFO     | camera | Loading model runs\detect\tool_detector\weights\best.pt on device: GPU 0 - NVIDIA GeForce GTX 1650 Ti (4.0 GB)
2026-07-02 14:47:53 | INFO     | camera | Model loaded. Classes: ['drill', 'hammer', 'pliers', 'screwdriver', 'wrench']
2026-07-02 14:47:56 | INFO     | camera | Camera 0 opened successfully. Confidence threshold = 0.65
2026-07-02 14:47:56 | INFO     | camera | Press 'q' to quit, '+'/'-' to adjust confidence, 's' to save a snapshot.
2026-07-02 14:48:32 | WARNING  | camera | Interrupted by user (Ctrl+C). Shutting down.
2026-07-02 14:48:32 | INFO     | camera | Camera released. Session ended.
2026-07-02 14:48:44 | INFO     | camera | Loading model runs\detect\tool_detector\weights\best.pt on device: GPU 0 - NVIDIA GeForce GTX 1650 Ti (4.0 GB)
2026-07-02 14:48:45 | INFO     | camera | Model loaded. Classes: ['drill', 'hammer', 'pliers', 'screwdriver', 'wrench']
2026-07-02 14:48:47 | INFO     | camera | Camera 0 opened successfully. Confidence threshold = 0.6
2026-07-02 14:48:47 | INFO     | camera | Press 'q' to quit, '+'/'-' to adjust confidence, 's' to save a snapshot.
2026-07-02 14:50:30 | WARNING  | camera | Interrupted by user (Ctrl+C). Shutting down.
2026-07-02 14:50:31 | INFO     | camera | Camera released. Session ended.
2026-07-02 14:50:44 | INFO     | camera | Loading model runs\detect\tool_detector\weights\best.pt on device: GPU 0 - NVIDIA GeForce GTX 1650 Ti (4.0 GB)
2026-07-02 14:50:44 | INFO     | camera | Model loaded. Classes: ['drill', 'hammer', 'pliers', 'screwdriver', 'wrench']
2026-07-02 14:50:47 | INFO     | camera | Camera 0 opened successfully. Confidence threshold = 0.5
2026-07-02 14:50:47 | INFO     | camera | Press 'q' to quit, '+'/'-' to adjust confidence, 's' to save a snapshot.
